document,page,matched_term,section_context
ind_prs18122019.pdf,1,Nifty 500,"Press Release December 18, 2019 Replacement in indices NSE vide its circular NSE/CML/42939 dated Dec"
ind_prs19012024.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, January 19, 2024 Replacement in indices The Index Maintenance Sub-Committee (E"
ind_prs19032024.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, March 19, 2024 Replacements in indices The Index Maintenance Sub-Committee (Eq"
ind_prs19032024.pdf,2,Nifty 500,Sr. Index Name Security Name Symbol Remarks No. Indian Renewable Energy Dev. IREDA Inclusion revoked
ind_prs19032024.pdf,3,Nifty 500,2) Nifty500 Shariah The following companies are being excluded on account of exclusion from Nifty 50
ind_prs19042023_1.pdf,2,Nifty 500,1) Nifty 500 The following companies are being excluded: Sr. No. Company Name Symbol 1 Bajaj Electri
ind_prs19042023_1.pdf,4,Nifty 500,Sr. No. Company Name Symbol 3 Hindustan Foods Ltd. HNDFDS 4 Spicejet Ltd. SPICEJET 5 Vakrangee Ltd. 
ind_prs19042023_1.pdf,5,Nifty 500,"C. Replacement in Nifty Shariah indices: On account of monthly review of Shariah compliance, replace"
ind_prs19122019.pdf,1,Nifty 500,"Press Release December 19, 2019 Replacement in indices The Index Maintenance Sub-Committee (IMSC) of"
ind_prs20012026_2.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, January 20, 2026 Replacement in indices The Index Maintenance Sub-Committee (E"
ind_prs20022026_2.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, February 20, 2026 Replacement in indices The Index Maintenance Sub-Committee ("
ind_prs20052026_1.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, May 20, 2026 Replacement in indices The Index Maintenance Sub-Committee (Equit"
ind_prs20082020.pdf,1,Nifty 500,"Press Release August 20, 2020 Revision in criteria and replacements in Indices The Index Maintenance"
ind_prs20082020.pdf,2,Nifty 500,OR OR 6 month average free float 6 month average free float market market capitalization of the stoc
ind_prs20082020.pdf,3,Nifty 500,• Rank based on average full market capitalization is among top 90 • Average full market capitalizat
