period,policy,net_return_pct,gross_return_pct,max_drawdown_pct,sharpe,sortino,turnover,direct_costs,average_exposure,cash_utilization,completed_trades,average_holding_period,capacity_blocks,expired_queued_opportunities,top_1_signal_date_profit_share,top_5_signal_date_profit_share,top_10_signal_date_profit_share,top_strategy_profit_share,top_sector_profit_share,result_hash
FOLD_1,R0_430007,15.626261451090295,21.386246666666707,-22.866775794670644,0.6695918676870979,0.8850086971150573,46.21428843320945,57599.85215576403,641589.0631959707,0.6368301039951395,271,10.047970479704796,327,5117,0.03621830403250812,0.15952013748264374,0.2744703731297135,0.4658192690632052,1.0,f431fce1ee73ebdae36d956dd0ddeeb7e0e1fda44c9231d2e6cc8b72cdd13b9e
FOLD_1,R0_455003,9.804582055506451,15.304997999999959,-21.37117023355527,0.462279116551441,0.6108498648321927,46.347289708866846,55004.159444934936,609952.302554945,0.6426686722536772,271,10.07380073800738,329,5117,0.04956877727121494,0.19661620760845683,0.3172669116158477,0.554079817529474,1.0000000000000002,8153d02e33ba6b269073e4d06bc51a436c3054bae16465927bd9d3ee2fa25050
FOLD_1,R0_480017,10.644886141202047,16.38348558333338,-22.020871070211946,0.500175838585802,0.6632359166054556,46.44308233246442,57385.994421313335,638667.6699473443,0.6373625795936538,271,10.029520295202952,328,5114,0.052948061378831866,0.20066089249852115,0.33303153170034044,0.7123090332999141,1.0,b461b18aa39924874aa5fcd596bb2edea3db6a8e90910a0bd014bfe8dc5166b5
FOLD_1,R0_505027,26.074315839371586,32.23031550000004,-19.29723707098283,0.969926307222212,1.3327602449296694,46.480962348356314,61559.99660628462,696542.3445924908,0.6422621023624655,271,10.044280442804428,327,5117,0.04553451852662478,0.16522213147820117,0.2826985196299276,0.6137402060507072,1.0,d5ef84278b8d757700853f0ba239dc2e64deaebf1abd242849f34c9d781b4a2f
FOLD_1,R0_530017,55.926352163978635,62.30375225000011,-15.587509428587154,1.883873298558057,2.8770675053264347,46.063241587035535,63774.00086021461,722922.2932486264,0.6449499521113594,272,10.018382352941176,328,5115,0.0895076230700901,0.20515141028451608,0.3091641059772148,0.5319469466888992,0.9999999999999998,baf685f334a8893537dc99aeec2b2638ab9cc2ccec59812e5b24e216531e847f
FOLD_1,R0_555029,46.11050136207526,52.13206999999998,-22.524768663971784,1.6525080731886617,2.49560964522241,46.467589913809,60215.68637924718,671472.0995741758,0.6461183426514403,272,10.003676470588236,328,5115,0.06971807362856931,0.23085987764010896,0.35978779781927656,0.4414192766002399,1.0,20355e5342df51a2cea00d4dfcdfd2232298d956968aebebcf7491f6feb017e0
FOLD_1,R0_580031,44.74320008211943,50.782133529702975,-20.774184542421324,1.6456148121727872,2.434631512836696,45.72140465518744,60389.33447583533,691392.4089621641,0.6472356334964469,266,10.270676691729323,328,5122,0.04050253176426801,0.16854051462592629,0.2834462370852706,0.5312531258452979,1.0,84524d08a052bc00a85b004a4020888e7475e4164137c640ec1da8eaacae5ae3
FOLD_2,C0,5.3859700180380665,11.431391930000046,-23.232388393516622,0.2939304919051716,0.3989351196754282,44.05602047291518,60454.21911961974,732331.0041619319,0.6442898334008437,264,10.276515151515152,331,11125,0.03835243229066274,0.1515181115686809,0.26510403255629966,0.5548394709006061,1.0,1027fefe16a8d1fa2c43d3a604ccf3f38fcb801a6da0cc6d38357c49446e06db
FOLD_2,C1,38.6124603591699,43.247677660495086,-19.34637643437014,1.3077655475226473,1.9755143591865425,28.1658572943986,46352.17301325186,685960.1885486048,0.5138258329848924,204,12.014705882352942,332,11184,0.10561767880710583,0.2914171480558423,0.4114672127515922,0.9366137017113572,1.0,7f834304a6fa771a3bbbf24f4b9790505cca694880b9d1fbe6aac01adcdc55dc
FOLD_2,C2,12.159573488460328,17.92210566666672,-16.64875845451338,0.6219797192594994,0.8719313117872923,40.55669244559106,57625.3217820639,666888.1181486743,0.5770424242420418,272,10.025735294117647,333,11118,0.06744515670516217,0.2520371245527165,0.37372112881354425,0.8318573570337497,1.0,371b8a542a719fdde6942f9b8dffac1f65f43b6b1619b3505f727a1599b6d64c
FOLD_2,R0_104729,-4.469864835622916,0.8941084302640068,-24.986620828231644,-0.08248144411539009,-0.10863381415322519,43.30973510757534,53639.73265886933,644520.7876057137,0.6411956032791477,258,10.468992248062015,332,11130,0.06306926161801288,0.22493141398663238,0.35547346093432325,0.5488341694186857,1.0000000000000002,d800f6b291007616492d750a27035a5654c8d89a05f67b7705cb2fdac1a0ecf2
FOLD_2,R0_130363,19.67638912418255,25.333842900000025,-13.742576295019049,0.8094362465247451,1.1771473067378402,39.563688449448,56574.53775817479,767270.0663589016,0.6494583732231218,240,11.383333333333333,333,11149,0.06266510673907287,0.21473437967459447,0.34261405490268776,0.47059356061133406,1.0,d8392405719c50ccc71e9bf09abe6e27618f35a5420b62665d2a4e94d8c5041d
FOLD_2,R0_155921,50.996061801101476,57.97049629166682,-19.53120530303083,1.677327158100144,2.480040532797161,42.0752358975226,69744.34490565356,902224.8307575758,0.6460513275115708,252,10.706349206349206,333,11137,0.07892242736676099,0.26187461383765026,0.37018745058441443,0.5750347233457118,1.0000000000000002,e9787dc107e95995c23e8bcae73417572555602db27662294c7b80b77d7f7cc5
FOLD_2,R0_181081,28.82249447186829,34.892247869999984,-21.6060712104024,0.9505465982170116,1.721691149021531,40.2027741189011,60697.53398131704,788533.6468371212,0.6264317848075852,241,11.302904564315353,332,11147,0.18693767854979074,0.30624228548856364,0.40794992660463253,0.620385297193687,0.9999999999999998,3e913f4e918121635662737383c8d32ae9e95f29dda5f61bf2d2a8b54109d764
FOLD_2,R0_205019,40.13181967843953,46.58896549999998,-21.414689394883123,1.4539846357087762,2.1421713041507044,42.239366572096095,64571.45821560452,840138.9688707385,0.6598654329082358,250,10.996,332,11138,0.05021811950054786,0.20805948096901514,0.34370268968875545,0.45172316447643784,1.0,2232d42f94ec06c90d33e0380791912c1406f7ee9e665ac82e65391be8222005
FOLD_2,R0_230003,13.763565951418677,20.10212025000002,-21.60323496104318,0.5745450088678004,0.7884156009295785,45.11430449274579,63385.54298581345,755335.274831913,0.6474144889267702,267,10.220973782771535,333,11122,0.08224680020729061,0.2532990677348281,0.36527559985308833,0.3932749299131696,1.0,18b97add811f1ac237f5a62ff51d5a7f4e46539e202ab6fd88f0d358364b2260
FOLD_2,R0_256019,0.9638832030215205,6.723490626237649,-22.53440231062115,0.12774601666596994,0.17039249695459918,43.94265146452458,57596.074232161416,683244.8343147361,0.637078790575464,266,10.278195488721805,332,11121,0.07940487646738759,0.22232700438228375,0.34616831382238217,0.5009647582633081,1.0000000000000002,4e4d87b3e24c9adac1128007790eaf7032f05701bbefe701e38e7ab2124d894e
FOLD_2,R0_280001,34.00035439090212,41.15750800000002,-21.07218451774494,1.2205893747840597,1.7463338716675658,45.647262502194515,71571.53609097919,854356.8180492424,0.6471207693312521,273,10.021978021978022,333,11116,0.053820251309373617,0.22244145672098528,0.3366437131305751,0.3917067079784541,1.0000000000000002,efcbb7d2ac499e4c995129644469c905225eb02c7b8761db7b3b52b15b28c8ec
FOLD_2,R0_305023,10.140431092237545,16.424063388888822,-22.03576238690721,0.4697644742634747,0.6640326562609641,45.78354476865861,62836.32296651264,743948.6144412878,0.6539036362181743,267,10.243445692883896,333,11122,0.045906665915023445,0.16868266474285554,0.2830655450144234,0.5366542228727551,1.0,26536397ec49ee2c7d87339f14df93e3c643f254e529d47e1c59d552d54f3e66
FOLD_2,R0_330017,11.108062397665574,17.67326755555556,-31.4807465770383,0.4995902635444288,0.6868612037539006,44.58744774343268,65652.0515788999,790058.8966603535,0.6374331378694905,267,10.127340823970037,333,11121,0.11368822685277766,0.2607593834867569,0.3714848522319244,0.47405480616951534,1.0,70fd6ccc505f86c5f93a85e11ca1750ddafa4449a35a891d7143ad1cd0cd0c6c
FOLD_2,R0_355009,-3.2774345520024895,2.5092874999999903,-32.19080962607587,-0.046019992470292606,-0.05962175145404115,42.61243229788578,57867.220520024915,739891.3723011364,0.65531592675384,251,10.96812749003984,333,11139,0.0821623418670684,0.24456531428906528,0.36268985884269783,0.4560283480367334,1.0,742465e184b615ca9ffa6be40bd17def02e4e1f8ac07c14148e6979252117984
FOLD_2,R0_380041,46.86414810021946,54.276879000000086,-17.4029850141454,1.5221277460334395,2.1174405738799145,45.40815350283722,74127.3089978065,903721.5270880681,0.6565911214527437,268,10.0,332,11120,0.05946317233163046,0.20187020602754552,0.3240942136430897,0.4696356169740552,1.0,537a8b9d2441f12d2526c9ebeb234b8557590922c1236295939e4763a5a62357
FOLD_2,R0_405031,12.164108000194783,18.45372056222223,-26.065643366839353,0.5433478380241394,0.763836031771095,43.114961216866796,62896.12562027431,781984.6266887627,0.6411447893235299,259,10.482625482625483,333,11129,0.05747106379058665,0.2438943797439921,0.3973968377900707,0.590782408719248,1.0,aaeda0b22600244864315d973534140fa35dd0f6919c840904cbda14dee9210c
FOLD_2,R0_430007,-8.57944555801462,-2.9681199378878254,-28.417132381915888,-0.29549571255083795,-0.39006995058698274,44.267256321744284,56113.256201267985,690748.1366397656,0.6613046389273666,257,10.003891050583658,333,11130,0.03667066897915176,0.16349615879800974,0.2840639314388182,0.5368671988767709,1.0,827b1ab20b427c8749c2e8b474cf180c48cb3ed07f7ef6cc16ea6d98a4d33d6f
